"说明：
品位高于1%的铜矿被视为富矿（国际通用标准）,品位在0.5%至1.0%之间的铜矿称为一般铜矿,品位低于0.5%的铜矿则称为低品位铜矿。
,中色卢安夏,巴鲁巴中矿-氧化矿,1555,1.50%,22.6,中报生产阴极铜2.3680万吨，同比增长1%；阳极铜0.2062万吨，同比增长14%,,,,,,,,,,,,,
,（赞比亚）,穆利亚希北矿-氧化矿,1616,1.50%,24.5,"赞比亚时间8月1日，中色卢安夏新矿项目开工。项目的实施为卢安夏铜矿盘活约120万吨高品位铜，延长矿山20年寿命
卢安夏项目时间明确，目前处于建设和投产节奏阶段，抽排水工作截至8月底已完成80%。",,,,,,,,,,,,,
,,穆利亚希北矿-硫化矿,1288,1.50%,18.9,,,,,,,,,,,,,,
,,马希巴矿,1070,1.90%,20,,,,,,,,,,,,,,
,,巴鲁巴东矿,1041,1.30%,13.7,,,,,,,,,,,,,,
,,罗恩盆地SS0-4线矿,121,3.10%,3.7,,,,,,,,,,,,,,
,,罗恩盆地SS19-35线矿-南翼,1250,1.30%,15.6,,,,,,,,,,,,,,
,,罗恩盆地SS19-35线矿-北翼,868,0.80%,6.8,,,,,,,,,,,,,,
,,罗恩盆地SS19-35线矿,2118,1.10%,22.4,,,,,,,,,,,,,,
,,罗恩东延长部,101,2.00%,2,,,,,,,,,,,,,,
,,冶炼炉渣,157,0.90%,1.4,,,,,,,,,,,,,,
,,卢安夏新矿-28#井矿体,3688,2.40%,87.8,,,,,,,,,,,,,,
,,卢安夏新矿-穆利亚希南,1379,2.50%,33.9,,,,,,,,,,,,,,
,谦比希湿法,穆旺巴希矿山（Mwambashi矿）,727,2.00%,14.5,,,,,,,,,,,,,,
,（赞比亚）,Samba矿,1782,1.60%,29,计划2025年启动建设,,,,,,,,,,,,,
,刚波夫矿业,刚波夫主矿体,993,2.40%,24.2,中报生产阴极铜1.9181万吨，同比增长4%,,,,,,,,,,,,,
,,刚波夫主露天坑尾矿,53,0.80%,0.4,,,,,,,,,,,,,,
,,刚波夫西露天坑尾矿,235,1.20%,2.7,,,,,,,,,,,,,,
,,Msesa矿体,,,,蒙赛赛项目预计2027年下半年投产，目前铜金属资源量约24万吨，按年产2万吨计算，服务年限约10到12年。,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,
,,库尔萨拉北,,0.40%,超过150万吨金属量的铜资源量,,,,,,,,,,,,,,
,,本塔拉,,,,预计4万吨产能（保守估计三年可实现）,,,,,,,,,,,,,
,,细波提,,,,,,,,,,,,,,,,,
,,东南矿井二期,,biziwa矿山,BOT运营,8万吨,,,,,,,,,,,,,
带金成信出海,硫酸现在220,硫酸之后看180,TC降,,,,,,,,,,,,,,,,
"公司自有矿山年产铜中长期有望逐步提升至约30万吨：公司在赞比亚和刚果(金)的主力矿山项目主要包括谦比希主、西矿和谦比希东南矿，中色卢安夏穆利亚希露天矿，谦比希湿法穆旺巴希矿山及刚波夫矿业主矿体。
公司自有矿山产铜成本相对稳定，铜价上涨能够给公司带来较大的利润弹性。
中国有色矿业还在继续扩张产能，今年6月，公司认购了哈萨克本卡拉铜矿部分股权，后续还将进一步收购实现控股。
成本控制能力：公司成本管控能力较强，2025年一季度自有矿山粗铜C2成本4800美元/吨，阴极铜成本3400美元/吨；外购铜精矿粗铜成本5800美元/吨，阴极铜成本8500美元/吨。氧化矿折扣系数同比下降7%，主要因硫酸价格上涨及供应端竞争缓和。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"公司自有矿山年产铜中长期有望逐步提升至约30万吨：公司目前在建和筹建矿山项目共有5个，分别为：
1）谦比希湿法桑巴铜矿150万t/a项目，计划在2025年完成项目投资决策并启动项目建设；
2）中色卢安夏新矿项目，目前正在推进排水、可研设计及设施修复工程，具备增加铜精矿含铜产能约4万吨/年的潜力；
3）刚波夫门赛萨矿体项目，目前已启动积水抽排及排污工程，预计将于今年启动露采工程建设；
4）刚波夫西矿体项目，目前在可研和论证阶段；
5）谦比希东南矿体二期项目，拟建成开采矿石330万吨/年的矿山项目，具备增加铜精矿含铜产能约4.6万吨/年的潜力。
待以上5个项目全部投产且达产之后，预计公司将新增年产15万吨铜产能，在2024年自有矿山年产铜约16万吨基础上，预计2030年自有矿山年产铜金属量将达到近30万吨，年均复合增速达到约10%。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"公司对外并购同步进行：公司于6月公告，采用股份认购的方式，支付认购价款收购SM Minerals 10.5%的已发行股本，该认购价款将主要用于本卡拉矿业项目的技术勘探和开发工作。
SM Minerals通过下属企业拥有本卡拉北采矿权和本卡拉南探矿权等资产。本卡拉北采矿权拥有的铜矿存量约150万吨铜金属，有足够资源进行大规模采矿业务。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"2025年
上半年实现营收17.52亿美元，同比-12.85%；
实现归母净利润2.63亿美元，同比+20.18%，其中，25Q1/Q2分别实现归母净利润约1.23/1.40亿美元，Q2环比+13.82%。
公司目前基本没有负债，现金储备较低，但每年经营活动净现金流稳定在6亿美元左右（约合人民币五十多亿）。25年、26年预计净现金流仍保持这一水平，27年因资本开支增加可能有所下降。
2024年
公司综合铜产量52.4万吨，生产硫酸106万吨，氢氧化钴含钴1,010吨，主要产品产量符合预期。
实现营业收入38.16亿美元，同比增长5.8%；归母净利润3.99亿美元，同比增长43.6%",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"公司今年上半年生产粗铜和阳极铜11.13万吨，同比-30.4%，其主要原因是为避免应收进项增值税余额进一步增加导致的资金占用及汇兑风险，上半年代本集团外的企业加工粗铜及阳极铜产量同比增加而自产自销铜产品的产销量同比下降；
生产阴极铜7.22万吨，同比+15.6%；
生产氢氧化钴含钴481吨，同比+1.7%；
生产硫酸53.84万吨，同比-1.9%；
生产液态二氧化硫1466吨，同比-85.5%；
代加工本集团外企业铜产品10.27万吨，同比+152.9%。
其中公司自有矿山生产粗铜及阳极铜约4.21万吨，同比+16.9%，同比增速较高主要是因为去年同期中色非矿东南矿体因故更换采矿服务商，导致矿山生产进度受到影响；
公司自有矿山生产阴极铜约4.32万吨，同比-0.8%；公司于今年上半年自有矿山产铜总计约8.52万吨，同比+7.2%。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"核心矿山方面：
今年上半年，中色非洲矿业生产阳极铜38743吨，同比增长约21%，主要原因是今年上半年无去年同期减产情况发生，Q1/Q2产量分别为18857/19886吨；
中色卢安夏生产阴极铜23680吨，同比增长约1%，Q1/Q2产量分别为11438/ 12242吨，生产阳极铜2062吨，同比增长约14%，Q1/Q2产量分别为1015/1047吨；
刚波夫矿业生产阴极铜19181吨，同比增长约4%，Q1/Q2产量分别为9487/9694吨。
今年上半年，公司自有矿山运营稳定，铜矿产能充分释放。
公司是全球领先的铜生产商，深耕赞比亚和刚果(金)多年。公司致力于矿山资源开发，自有矿山产铜作为公司最核心的业务，今年上半年自有矿山产铜合计约8.52万吨，原料自给率46.4%。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"冶炼产能方面：
今年上半年，谦比希铜冶炼生产粗铜和阳极铜合计约14.05万吨，同比增长约5%，生产硫酸36.60万吨，同比减少约1%；
谦比希湿法生产阴极铜755吨，同比减少约73%，生产阳极铜1540吨，同比减少约42%，产量下降主要原因是暂时停产并全力开展修复措施；
中色华鑫马本德生产阴极铜约1.56万吨，同比增长约85%，中色华鑫湿法生产阴极铜约1.30万吨，同比增长约26%，两家冶炼厂阴极铜产量同比增长主要原因是去年同期刚果(金)停限电情况严重致产能利用率不足，今年发电机与光伏投入使用，供电情况好于去年同期；
卢阿拉巴铜冶炼生产粗铜约7.35万吨，同比增长约12%，产量同比增长主要原因是上半年无停产检修以及原料供应充足，生产硫酸约17.24万吨，同比减少约3%。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"经营情况变化或对核心产品产销量产生一定影响：
1）今年2月，谦比希湿法冶炼发生尾矿坝事故，导致暂停营运，公司随即启动救援及控制措施以控制局势，根据赞比亚安全法规，谦比希湿法冶炼须进行环境修复工程，赞比亚环境管理署已要求进行独立成本评估。截至目前，该程序仍在进行中。
2）今年6月，中色非洲矿业东南矿井发生一宗物体相关事故，导致一名分包商员工死亡。该矿井已暂时停用，以便外部专家进行检查。公司初步预计停产时间约为90天，预计东南矿体停产将影响2025年自有矿山铜产量约1.45万吨。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"财务数据：
①截止至2025年上半年末，公司资产负债率提升至30.9%，相比于2024年年末提升3.8个百分点。
②期间费用方面，今年上半年，公司分销及销售费用约451万美元，同比增长约28%；行政费用约9606万美元，同比增长约15%，其增长主要原因是谦比希湿法冶炼暂时停产并全力开展修复措施导致；融资成本约123万美元，同比减少约80%。
③今年上半年，公司其他收益及损失净额为收益4869万美元，同比去年同期343万美元大幅提升，其主要原因是赞比亚克瓦查兑美元汇率升值，导致外汇兑换收益同比增加。",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"参考资料：
公司官网：https://www.cnmc.com.cn/cnmc/cpzx/kjcx/kjpt/A002004006001Gone1.html
中国有色矿业集团 怎么样? https://www.zhihu.com/question/316413751/answer/3453667412
中国有色矿业，被严重低估的小洛钼 https://xueqiu.com/1135986362/336450288
国信金属｜中国有色矿业中报点评：经营业绩稳中有升，增储上产和对外并购同步进行
新矿启动！恒大江海智能排水系统助力中色卢安夏(赞比亚)新矿项目开工 https://mp.weixin.qq.com/s?__biz=MzUyOTE3MTY2NA==&mid=2247544316&idx=2&sn=d15211fbd4156d245c8716535c5b96ba&chksm=fb6ea50e6766edb223b79da5b744e9060d24a1f435b1a8dd31c0d22b74ebad929c45c9dfe85d&scene=27",,,,,,,,,,,,,,,,,,,
2025中报,2025-08-28：截至2025年6月30日止六個月未經審核中期業績.pdf,,,,,,,,,,,,,,,,,,
2024年报补充,2025-07-14-1258.HK-中国有色矿业-20250714 2242  中國有色礦業01258 - 年報補充公告.pdf,,,,,,,,,,,,,,,,,,
2024年报,2025-04-25-1258.HK-中国有色矿业-20250425 1630  中國有色礦業01258 - 2024年度報告.pdf,,,,,,,,,,,,,,,,,,
2024中报,2024-09-24-1258.HK-中国有色矿业-20240924 1656  中國有色礦業01258 - 2024中期業績報告.pdf,,,,,,,,,,,,,,,,,,
2023年报,2024-04-29-1258.HK-中国有色矿业-20240429 1819  中國有色礦業01258 - 2023年度報告.pdf,,,,,,,,,,,,,,,,,,
2023中报,2023-09-21-1258.HK-中国有色矿业-20230921 1640  中國有色礦業01258 - 2023中期業績報告.pdf,,,,,,,,,,,,,,,,,,
