ths_stock_code_stock,ths_stock_short_name_stock,INDUSTRY_SW_2021
300918,南山智尚,纺织服饰
300926,博俊科技,汽车
301155,海力风电,电力设备
600066,宇通客车,汽车
600096,云天化,基础化工
600104,上汽集团,汽车
600109,国金证券,非银金融
600141,兴发集团,基础化工
600179,安通控股,交通运输
600196,复星医药,医药生物
600206,有研新材,电子
600233,圆通速递,交通运输
600258,首旅酒店,社会服务
600315,上海家化,美容护理
600338,西藏珠峰,有色金属
600346,恒力石化,石油石化
600409,三友化工,基础化工
600416,湘电股份,电力设备
600446,金证股份,计算机
600458,时代新材,机械设备
600459,贵研铂业,有色金属
600460,士兰微,电子
600486,扬农化工,基础化工
600487,亨通光电,通信
600498,烽火通信,通信
600517,国网英大,非银金融
600547,山东黄金,有色金属
600577,精达股份,电力设备
600621,华鑫股份,非银金融
600623,华谊集团,基础化工
600637,东方明珠,传媒
600660,福耀玻璃,汽车
600682,南京新百,综合
600699,均胜电子,汽车
600703,三安光电,电子
600732,爱旭股份,电力设备
600739,辽宁成大,医药生物
600741,华域汽车,汽车
600745,闻泰科技,电子
600797,浙大网新,计算机
600850,电科数字,计算机
600864,哈投股份,非银金融
600933,爱柯迪,汽车
600988,赤峰黄金,有色金属
601059,信达证券,非银金融
601061,中信金属,商贸零售
601099,太平洋,非银金融
601100,恒立液压,机械设备
601127,赛力斯,汽车
601137,博威合金,有色金属
601162,天风证券,非银金融
601231,环旭电子,电子
601288,农业银行,银行
601311,骆驼股份,电力设备
601608,中信重工,机械设备
601618,中国中冶,建筑装饰
601689,拓普集团,汽车
601788,光大证券,非银金融
601877,正泰电器,电力设备
603019,中科曙光,计算机
603025,大豪科技,机械设备
603075,热威股份,家用电器
603118,共进股份,通信
603166,福达股份,汽车
603171,税友股份,计算机
603185,弘元绿能,电力设备
603219,富佳股份,家用电器
603268,*ST松发,轻工制造
603297,永新光学,电子
603298,杭叉集团,机械设备
603306,华懋科技,汽车
603328,依顿电子,电子
603358,华达科技,汽车
603583,捷昌驱动,机械设备
603588,高能环境,环保
603613,国联股份,商贸零售
603688,石英股份,基础化工
603690,至纯科技,电子
603858,步长制药,医药生物
603881,数据港,通信
603919,金徽酒,食品饮料
603920,世运电路,电子
605376,博迁新材,有色金属
688002,睿创微纳,国防军工
688003,天准科技,机械设备
688019,安集科技,电子
688037,芯源微,电子
688065,凯赛生物,基础化工
688088,虹软科技,计算机
688097,博众精工,机械设备
688099,晶晨股份,电子
688116,天奈科技,电力设备
688123,聚辰股份,电子
688127,蓝特光学,电子
688190,云路股份,有色金属
688220,翱捷科技,电子
688248,南网科技,电力设备
688252,天德钰,电子
688271,联影医疗,医药生物
688295,中复神鹰,基础化工
688306,均普智能,机械设备
688326,经纬恒润,计算机
688333,铂力特,机械设备
688351,微电生理,医药生物
688362,甬矽电子,电子
688380,中微半导,电子
688409,富创精密,电子
688433,华曙高科,机械设备
688469,芯联集成,电子
688503,聚和材料,电力设备
688536,思瑞浦,电子
688538,和辉光电,电子
688561,奇安信,计算机
688582,芯动联科,电子
688652,京仪装备,电子
688778,厦钨新能,电力设备
688779,五矿新能,电力设备
688798,艾为电子,电子
688800,瑞可达,电子
688981,中芯国际,电子
689009,九号公司,汽车
835185,贝特瑞,电力设备
872808,曙光数创,计算机
